year,bo,PA,woba,obp,slg,ops,iso,bb_pct,k_pct,sh_pct,rel_woba,rel_ops
2021,1,6842,0.1889649719184156,0.3636631765226368,0.35971467391304346,0.7233778504356803,0.08559782608695653,0.11414790996784566,0.14805612394036832,0.008915521777258111,0.984612287942364,0.9913835107298615
2021,2,6685,0.19532084592145013,0.3593608682544468,0.3845486111111111,0.7439094793655578,0.11440972222222222,0.11159311892296185,0.15587135377711295,0.0074794315632011965,1.0177299159369486,1.0195219426119622
2021,3,6531,0.21181669495448233,0.37145049884881043,0.43892926786030845,0.8103797667091188,0.1515688707675944,0.1082529474812433,0.15189098147297503,0.0024498545398866944,1.1036824366241056,1.1106189354023732
2021,4,6387,0.20907000946073795,0.3583633798401003,0.4384263494967978,0.7967897293368982,0.17218664226898445,0.11601690934711131,0.18897761077188038,0.0012525442304681385,1.0893706821185067,1.0919938987733038
2021,5,6240,0.1996724834383584,0.3411102172164119,0.41546070708921046,0.7565709243056223,0.1557061732918117,0.0983974358974359,0.1860576923076923,0.004006410256410256,1.0404043604560564,1.0368743508008968
2021,6,6087,0.18462524950099798,0.33493616315702207,0.3634453781512605,0.6983815413082826,0.1193659281894576,0.10694923607688517,0.19451289633645474,0.00919993428618367,0.961999927698725,0.9571262706400755
2021,7,5929,0.1818446768386765,0.3336183310533516,0.355859375,0.6894777060533516,0.1072265625,0.09883622870635858,0.21032214538708044,0.013661663012312362,0.9475116022538359,0.9449236362233908
2021,8,5769,0.17773203539823007,0.32586450247000703,0.346386758175212,0.672251260645219,0.10819539765845781,0.09776391055642225,0.2139018894089097,0.01750736696134512,0.9260824598204286,0.921314931704964
2021,9,5583,0.17320466982852975,0.31947483588621445,0.335667215815486,0.6551420517017004,0.09514003294892916,0.08973670069854917,0.19935518538420205,0.017732401934443847,0.9024923747021205,0.8978668988159
2022,1,6844,0.17989615384615382,0.35239498894620486,0.3541491331425686,0.7065441220887734,0.08567581215283622,0.1043249561659848,0.15561075394506138,0.008620689655172414,0.9866598394981063,0.9917679946948378
2022,2,6682,0.18228045801526718,0.3422818791946309,0.3720334642308349,0.7143153434254658,0.10056342837630186,0.08530380125710865,0.17270278359772523,0.018706973959892247,0.9997368126213,1.0026763702094992
2022,3,6534,0.20645084117919432,0.3642495784148398,0.44631396357328706,0.8105635419881269,0.15628794449262792,0.09412304866850321,0.1512090602999694,0.0015304560759106215,1.1323018834316672,1.1377788781735914
2022,4,6379,0.20338973143759873,0.3505332496863237,0.445218945487042,0.7957521951733657,0.17229669347631815,0.09499921617808434,0.19344724878507602,0.0004702931493964571,1.1155128972207016,1.1169883581339104
2022,5,6227,0.18921718724712736,0.3338166586112454,0.40559440559440557,0.739411064205651,0.13842567688721535,0.0823831700658423,0.19142444194636263,0.003211819495744339,1.0377820515228615,1.0379029496904884
2022,6,6062,0.1804576723993989,0.3295587010824313,0.3735750327041674,0.7031337337865987,0.11810876471687536,0.08973935994721215,0.19432530517980864,0.009402837347410096,0.9897395485067481,0.9869808711991681
2022,7,5912,0.171286108714409,0.31454107940873155,0.35219885277246654,0.6667399321811981,0.1089866156787763,0.08423545331529093,0.2107577807848444,0.015730717185385656,0.9394371192445993,0.935895303420607
2022,8,5739,0.16246852149099342,0.3046416503645741,0.32663216560509556,0.6312738159696696,0.09673566878980892,0.07945635128071092,0.21048963234012893,0.02021258058895278,0.8910761120267577,0.8861119171393151
2022,9,5566,0.1594582259845418,0.2958808385435822,0.3227642276422764,0.6186450661858587,0.09288617886178861,0.074200503054258,0.21577434423284225,0.02281710384477183,0.8745658219636501,0.8683850838715417
2023,1,6868,0.1847762711864407,0.35259520658726656,0.35919732441471575,0.7117925310019824,0.08729096989966555,0.10090273733255678,0.15841584158415842,0.009755387303436227,0.9988599478557189,0.9994588565685344
2023,2,6719,0.18151734585668836,0.3386291420789832,0.3604180714767363,0.6990472135557195,0.08934592043155766,0.08230391427295729,0.1512129781217443,0.016371483851763655,0.9812429131356191,0.9815626019063604
2023,3,6557,0.21167040737893927,0.3728787647148754,0.4465508162190627,0.819429580933938,0.15569598034053012,0.10751868232423364,0.15891413756290987,0.002440140308067714,1.1442437425517287,1.1505967207126904
2023,4,6418,0.20245932788944723,0.35263815173275054,0.4306685532366466,0.7833067049693971,0.15104350902016273,0.09348706762231225,0.17373013399813025,0.001869741352446245,1.094450669450446,1.099875019184487
2023,5,6278,0.18235637183824713,0.33054930934789595,0.37082728592162556,0.7013765952695215,0.11484034833091437,0.09318254221089518,0.1761707550175215,0.00828289264096846,0.9857785033540393,0.9848333881014766
2023,6,6107,0.18232858090185677,0.33245164489998347,0.3679806619561175,0.7004323068561009,0.10859055410933433,0.08531193712133617,0.1873260193220894,0.009497298182413624,0.9856282716543979,0.9835074716625676
2023,7,5933,0.17766838399450458,0.3242087254063302,0.3576222435282838,0.681830968934614,0.10699904122722914,0.0851171414124389,0.19922467554356987,0.014663745154222148,0.9604362704846244,0.9573885239075476
2023,8,5757,0.1708162794821777,0.3160410764872521,0.3371280207709207,0.6531690972581727,0.09866187337727182,0.08858780614903596,0.20357825256209833,0.01893347229459788,0.9233952981133463,0.917143143062479
2023,9,5594,0.1662921431206197,0.3170103092783505,0.32195021600493723,0.6389605252832877,0.0771446204484674,0.08366106542724347,0.1975330711476582,0.028959599570968896,0.8989388103772219,0.8971922690634222
2024,1,6983,0.20844936342592593,0.3699104822408317,0.4090685066535239,0.7789789888943556,0.11631345490389354,0.10024344837462408,0.15766862380065874,0.00816268079621939,1.0066985201448477,1.0097521885336687
2024,2,6820,0.2100528189910979,0.36487487042795796,0.418331374853114,0.783206245281072,0.12993117340943428,0.09442815249266862,0.16730205278592375,0.009824046920821115,1.0144423497159571,1.015231773283494
2024,3,6667,0.23389080199365653,0.37330928764652843,0.5032312925170068,0.8765405801635353,0.20136054421768707,0.09329533523323834,0.16829158542072897,0.0019499025048747563,1.1295670102930164,1.1362164856525243
2024,4,6526,0.2279884294970688,0.36462647645344376,0.4915696158525986,0.8561960923060423,0.19607161480966454,0.09148023291449586,0.19123505976095617,0.0009193993257738277,1.1010617197994332,1.1098449256597986
2024,5,6372,0.20909963682299068,0.34571203776553894,0.4334525939177102,0.7791646316832491,0.16386404293381038,0.09635907093534213,0.2002510985561833,0.0026679221594475833,1.0098389915560126,1.0099928281594395
2024,6,6204,0.20411344401041664,0.342806105878532,0.416286288113931,0.759092393992463,0.14460471060799707,0.08671824629271438,0.20615731785944552,0.007253384912959381,0.985758357088837,0.9839741726809307
2024,7,6050,0.19452315666276543,0.33606146651077334,0.3840972871842844,0.7201587536950578,0.12086061739943872,0.08743801652892562,0.21289256198347106,0.010413223140495868,0.9394424177068722,0.9335064077497007
2024,8,5911,0.18719111570247937,0.3296079779917469,0.36333720480061943,0.6929451827923663,0.10840108401084012,0.08492640839113517,0.20368803924885806,0.016071730671629165,0.9040325960453907,0.8982307929146829
2024,9,5732,0.18143868092691623,0.33012649207197575,0.3393939393939394,0.6695204314659151,0.0898989898989899,0.09054431263084438,0.20359385903698535,0.020760642009769716,0.8762514242508938,0.8678664387344588
2025,1,6839,0.19012287446399528,0.3503983475951608,0.38018741633199465,0.7305857639271555,0.10993975903614457,0.09606667641468052,0.1700541014768241,0.008919432665594385,1.0051186974739255,1.0045715701257887
2025,2,6659,0.1872086001829826,0.34267865305500533,0.37622908400897015,0.7189077370639755,0.11091944109021908,0.09460880012013816,0.18245982880312359,0.014416579065925814,0.9897118634584428,0.9885140251240145
2025,3,6503,0.21430597014925376,0.3738808274158691,0.45721401885785445,0.8310948462737235,0.16723003024372887,0.10456712286636936,0.1653083192372751,0.00399815469783177,1.132966972988282,1.1427737794352784
2025,4,6381,0.21299018055115615,0.35671688637790333,0.4692197566213314,0.8259366429992347,0.18915533285612027,0.09873060648801128,0.1897821658047328,0.0014104372355430183,1.126010815131327,1.1356811359451735
2025,5,6240,0.18995144845444248,0.331076724693746,0.3983651226158038,0.7294418473095499,0.1427792915531335,0.09230769230769231,0.20897435897435898,0.0057692307692307696,1.0042124231083571,1.0029986594979332
2025,6,6093,0.18184568106312288,0.3251574411667219,0.3710691823899371,0.696226623556659,0.11857195708472068,0.08435910060725423,0.2168061710159199,0.009847365829640572,0.9613598290406578,0.9573269928367033
2025,7,5945,0.17705363853775197,0.3190110826939471,0.3586417397939718,0.6776528224879189,0.11217092712705075,0.07939444911690496,0.21547518923465098,0.013624894869638351,0.9360258361956642,0.9317876059171839
2025,8,5762,0.17133268413597733,0.3176512203749558,0.335530257639305,0.6531814780142609,0.09806271220291592,0.08851093370357514,0.21676501214855953,0.01874349184311003,0.9057809840029397,0.8981389664900368
2025,9,5568,0.17207053637031594,0.3212254632177582,0.33873282755792494,0.6599582907756831,0.08796391224113184,0.08153735632183907,0.21641522988505746,0.02101293103448276,0.9096817722631503,0.9074572337932431
