year,name,p_no,code,pos,PA,AB,R,H,2B,3B,HR,TB,RBI,GO,FO,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS
2025,김호령,11298,2002,CF,16,15,4,7,0,0,0,7,0,2,3,1,0,0,3,0,0,0,0.467,0.500,0.467,0.967
2025,최인호,14707,7002,LF,41,37,3,13,3,0,0,16,2,10,9,3,0,0,5,1,1,0,0.351,0.400,0.432,0.832
2025,박찬형,16395,3001,SS,52,43,7,15,5,1,2,28,11,9,10,2,6,1,10,0,0,1,0.349,0.442,0.651,1.093
2025,송성문,11376,10001,3B,440,392,72,131,27,2,19,219,61,97,103,44,1,5,64,6,0,3,0.334,0.400,0.559,0.959
2025,권동진,14777,12001,2B,12,9,1,3,0,0,0,3,0,2,0,2,1,0,4,0,0,0,0.333,0.500,0.333,0.833
2025,오명진,14737,6002,SS,14,12,0,4,0,0,0,4,2,3,4,0,1,0,2,0,0,1,0.333,0.357,0.333,0.690
2025,신민재,13056,5002,2B,361,310,63,103,12,7,1,132,36,118,53,41,2,0,40,5,4,4,0.332,0.409,0.426,0.835
2025,고종욱,10659,2002,LF,76,70,7,23,2,0,2,31,11,22,18,3,0,0,10,2,0,3,0.329,0.342,0.443,0.785
2025,이유찬,12894,6002,2B,60,52,10,17,5,1,0,24,4,13,14,7,0,0,8,2,1,0,0.327,0.407,0.462,0.869
2025,김주원,14765,11001,SS,349,302,57,97,19,5,10,156,42,62,82,36,9,1,62,3,1,1,0.321,0.408,0.517,0.925
2025,플로리얼,16312,7002,CF,79,70,12,22,4,1,4,40,7,19,18,7,1,1,12,0,0,1,0.314,0.380,0.571,0.951
2025,허경민,10184,12001,3B,130,113,13,35,5,0,1,43,18,39,36,9,4,0,5,0,2,2,0.310,0.375,0.381,0.756
2025,배정대,11212,12001,CF,68,58,7,18,5,0,1,26,11,11,13,6,2,0,16,0,2,0,0.310,0.394,0.448,0.842
2025,윤도현,15058,2002,SS,93,87,15,26,4,0,3,39,5,16,22,4,0,0,23,0,2,0,0.299,0.330,0.448,0.778
2025,안재석,14771,6002,SS,92,85,17,25,11,1,2,44,13,18,24,6,0,0,18,2,1,0,0.294,0.341,0.518,0.859
2025,박성한,12922,9002,SS,204,180,30,53,6,2,3,72,22,45,50,23,1,0,32,3,0,0,0.294,0.377,0.400,0.777
2025,이재현,15034,1001,SS,150,130,31,38,10,1,6,68,19,18,36,16,2,1,39,1,1,1,0.292,0.376,0.523,0.899
2025,김민혁,11339,12001,LF,107,98,13,28,2,2,0,34,7,41,20,7,1,0,9,3,1,0,0.286,0.340,0.347,0.687
2025,김지찬,14618,1001,CF,292,252,47,72,7,2,0,83,21,82,69,28,4,0,32,5,5,3,0.286,0.362,0.329,0.691
2025,홍창기,12546,5002,RF,198,161,30,45,4,0,1,52,14,56,25,27,6,0,37,4,2,2,0.280,0.398,0.323,0.721
2025,황재균,10407,12001,3B,101,90,12,25,5,0,1,33,7,19,28,8,2,1,18,1,1,0,0.278,0.350,0.367,0.717
2025,박찬호,11261,2002,SS,319,276,42,76,11,1,2,95,19,79,88,34,1,0,35,4,6,2,0.275,0.355,0.344,0.699
2025,황성빈,14642,3001,LF,228,208,34,57,4,4,0,69,20,80,37,13,4,0,35,3,2,1,0.274,0.327,0.332,0.659
2025,김태연,12585,7002,1B,93,84,9,23,5,0,1,31,4,19,24,6,3,0,18,2,1,0,0.274,0.344,0.369,0.713
2025,손아섭,10261,11001,DH,126,113,16,31,9,0,1,43,16,41,20,10,1,0,22,2,1,1,0.274,0.336,0.381,0.717
2025,박민우,11137,11001,2B,94,85,10,23,5,1,0,30,4,23,20,6,3,0,19,1,0,0,0.271,0.340,0.353,0.693
2025,최지훈,14587,9002,CF,399,357,48,96,11,3,3,122,27,89,111,33,4,1,65,1,1,4,0.269,0.334,0.342,0.676
2025,구자욱,10892,1001,LF,23,19,4,5,3,0,0,8,3,8,4,4,0,0,2,1,0,0,0.263,0.391,0.421,0.812
2025,권희동,11172,11001,LF,103,84,15,22,7,0,2,35,7,25,25,16,3,0,12,1,0,0,0.262,0.398,0.417,0.815
2025,푸이그,15004,10001,RF,69,62,12,16,2,0,3,27,9,17,19,5,2,0,10,1,0,0,0.258,0.333,0.435,0.768
2025,정수빈,10195,6002,CF,413,354,67,91,9,4,6,126,31,139,82,43,9,1,44,4,5,2,0.257,0.350,0.356,0.706
2025,로하스,12995,12001,LF,101,86,15,22,4,0,4,38,11,21,22,13,0,1,23,1,0,2,0.256,0.347,0.442,0.789
2025,장두성,13155,3001,RF,153,133,25,34,2,3,0,42,14,27,33,15,2,0,40,3,2,1,0.256,0.338,0.316,0.654
2025,김동혁,15645,3001,LF,50,39,7,10,3,1,0,15,4,8,5,7,0,0,16,1,4,0,0.256,0.370,0.385,0.755
2025,황영묵,16110,7002,SS,108,98,18,25,5,1,0,32,4,37,22,8,0,0,14,1,1,0,0.255,0.311,0.327,0.638
2025,박승규,14122,1001,CF,106,92,20,23,2,0,4,37,8,23,23,11,2,0,23,1,1,0,0.250,0.343,0.402,0.745
2025,김상수,10320,12001,SS,38,32,4,8,1,0,0,9,5,7,11,5,0,0,7,0,0,1,0.250,0.342,0.281,0.623
2025,박시원,14597,11001,LF,15,12,2,3,1,0,1,7,1,3,2,2,0,0,4,0,1,0,0.250,0.357,0.583,0.940
2025,전민재,13073,3001,SS,12,12,0,3,0,0,0,3,0,3,3,0,0,0,3,1,0,0,0.250,0.250,0.250,0.500
2025,오태곤,10249,9002,LF,21,20,1,5,1,0,0,6,3,6,3,1,0,0,6,1,0,0,0.250,0.286,0.300,0.586
2025,전준우,10266,3001,DH,39,33,0,8,2,0,0,10,5,8,14,4,0,0,5,0,0,2,0.242,0.308,0.303,0.611
2025,김성윤,12936,1001,RF,56,43,6,10,2,1,1,17,2,12,13,12,0,0,9,1,0,1,0.233,0.393,0.395,0.788
2025,천재환,13261,11001,CF,16,13,5,3,0,0,0,3,1,4,1,1,1,0,5,0,1,0,0.231,0.333,0.231,0.564
2025,스티븐슨,16402,12001,CF,41,39,4,9,3,0,1,15,2,13,7,0,2,0,10,0,0,0,0.231,0.268,0.385,0.653
2025,윤동희,15048,3001,CF,55,44,6,10,1,0,1,14,4,11,12,10,0,0,11,2,1,0,0.227,0.370,0.318,0.688
2025,전태현,16332,10001,2B,20,18,1,4,0,0,0,4,0,4,7,2,0,0,3,0,0,0,0.222,0.300,0.222,0.522
2025,이용규,10035,10001,LF,25,23,3,5,0,0,0,5,0,9,5,2,0,0,4,1,0,0,0.217,0.280,0.217,0.497
2025,장진혁,12583,12001,CF,15,14,1,3,0,0,0,3,4,6,3,1,0,0,2,0,0,0,0.214,0.267,0.214,0.481
2025,이진영,12539,7002,CF,51,47,8,10,0,0,1,13,3,10,8,4,0,0,19,0,0,0,0.213,0.275,0.277,0.552
2025,한태양,15051,3001,2B,71,63,7,13,1,1,0,16,2,16,14,6,2,0,20,1,0,0,0.206,0.296,0.254,0.550
2025,이원석,13138,7002,CF,120,100,16,19,2,0,4,33,17,31,29,14,3,0,22,2,2,1,0.190,0.305,0.330,0.635
2025,강백호,13168,12001,DH,39,37,3,7,1,0,1,11,2,13,10,2,0,0,7,0,0,0,0.189,0.231,0.297,0.528
2025,박주홍,14580,10001,LF,76,65,11,12,4,1,0,18,1,24,18,10,0,0,11,3,1,0,0.185,0.293,0.277,0.570
2025,이창진,11233,2002,LF,88,71,9,13,3,0,1,19,6,18,23,13,2,0,18,1,1,1,0.183,0.322,0.268,0.590
2025,최정원,14221,11001,2B,28,22,6,4,2,0,0,6,1,10,3,2,3,0,5,0,1,0,0.182,0.333,0.273,0.606
2025,박해민,11190,5002,CF,72,56,11,10,1,1,1,16,4,16,18,13,1,0,12,3,2,0,0.179,0.343,0.286,0.629
2025,정준재,16042,9002,2B,24,23,1,4,0,0,0,4,0,7,3,1,0,0,9,1,0,0,0.174,0.208,0.174,0.382
2025,이정훈,12916,12001,LF,14,12,2,2,0,0,1,5,3,1,4,1,1,0,5,0,0,0,0.167,0.286,0.417,0.703
2025,한석현,13250,11001,LF,47,43,5,7,2,0,0,9,2,14,12,3,1,0,10,1,0,0,0.163,0.234,0.209,0.443
2025,류지혁,10894,1001,2B,29,26,2,4,1,0,0,5,2,14,5,1,2,0,3,0,0,0,0.154,0.241,0.192,0.433
2025,김민석,15253,6002,CF,37,35,2,5,0,1,0,7,2,9,8,2,0,1,13,2,0,0,0.143,0.189,0.200,0.389
2025,박재현,16252,2002,LF,10,7,0,1,0,0,0,1,1,2,1,3,0,0,3,0,0,0,0.143,0.400,0.143,0.543
2025,안치홍,10014,7002,1B,45,42,1,6,0,0,1,9,6,12,13,2,0,0,11,0,1,0,0.143,0.182,0.214,0.396
2025,케이브,16300,6002,RF,23,23,2,3,0,0,0,3,2,11,4,0,0,0,5,0,0,0,0.130,0.130,0.130,0.260
2025,문성주,13112,5002,LF,37,31,1,4,0,0,0,4,1,16,6,6,0,0,5,0,0,0,0.129,0.270,0.129,0.399
2025,최원준,12534,2002,CF,33,32,2,4,0,0,0,4,1,14,7,1,0,0,7,0,0,0,0.125,0.152,0.125,0.277
2025,이주형,14591,10001,CF,26,19,3,2,0,0,0,2,0,6,1,4,3,0,10,0,0,0,0.105,0.346,0.105,0.451
2025,김인태,11098,6002,LF,13,12,0,1,0,0,0,1,2,3,1,1,0,0,7,0,0,0,0.083,0.154,0.083,0.237
