year,name,code,PA,AB,R,H,2B,3B,HR,TB,SB,CS,BB,HP,IB,SO,SH,SF
2021,홍창기,5002,651,524,103,172,26,2,4,214,23,8,109,16,4,95,0,2
2021,강백호,12001,627,516,76,179,40,1,16,269,10,5,103,0,10,85,0,8
2021,최정,9002,555,436,92,121,17,1,35,245,8,6,84,22,3,102,1,12
2021,이정후,10001,544,464,78,167,42,6,7,242,10,3,62,9,1,37,0,9
2021,양의지,11001,570,480,81,156,29,2,30,279,2,1,69,11,5,60,0,10
2021,최재훈,7002,467,375,52,103,21,0,7,145,3,2,72,12,2,68,5,3
2021,알테어,11001,565,492,83,134,19,2,32,253,20,5,57,11,2,156,0,5
2021,구자욱,1001,610,543,107,166,30,10,22,282,27,4,48,6,3,98,1,12
2021,정은원,7002,608,495,85,140,22,5,6,190,19,11,105,1,1,105,4,3
2021,박건우,6002,525,458,82,149,31,2,6,202,13,0,50,11,2,72,0,6
2021,김재환,6002,566,475,86,130,23,2,27,238,2,3,81,5,3,127,0,5
2021,노시환,7002,458,380,56,103,18,1,18,177,5,2,73,1,9,107,0,4
2021,박성한,9002,471,407,53,123,21,1,4,158,12,5,49,1,0,73,12,2
2021,김혜성,10001,635,559,99,170,20,3,3,205,46,4,65,1,3,97,0,10
2021,강민호,1001,462,406,55,118,22,0,18,194,0,0,45,4,4,53,0,7
2021,전준우,3001,619,552,88,192,46,0,7,259,6,3,53,5,0,71,1,8
2021,한유섬,9002,519,442,71,123,18,1,31,236,1,0,60,10,4,96,1,6
2021,추신수,9002,580,461,84,122,19,2,21,208,25,9,103,12,4,123,0,4
2021,마차도,3001,539,466,83,130,21,1,5,168,8,5,58,4,1,65,4,7
2021,박해민,1001,542,454,78,132,22,1,5,171,36,15,69,3,2,82,9,7
2021,김현수,5002,595,506,70,144,23,1,17,220,3,0,77,3,5,42,0,9
2021,이용규,10001,547,459,88,136,16,8,1,171,17,2,71,5,2,46,6,6
2021,페르난데스,6002,617,540,73,170,24,0,15,239,0,2,65,6,3,35,0,6
2021,오지환,5002,532,464,62,118,19,2,8,165,12,6,54,5,0,82,4,5
2021,박동원,10001,481,413,61,103,21,0,22,190,2,0,53,7,0,114,5,3
2021,서건창,5002,600,513,78,130,24,2,6,176,12,4,69,9,2,78,5,4
2021,한동희,3001,496,424,54,113,24,0,17,188,0,1,61,6,1,95,1,4
2021,김선빈,2002,564,501,55,154,32,0,5,201,0,0,56,1,2,39,1,5
2021,최원준,2002,668,589,82,174,21,6,4,219,40,13,61,11,0,68,4,3
2021,하주석,7002,594,525,84,143,27,3,10,206,23,6,51,10,1,135,5,3
2021,배정대,12001,595,510,85,132,23,1,12,193,19,7,65,12,2,132,3,5
2021,나성범,11001,623,570,96,160,29,1,33,290,1,2,38,11,2,155,0,4
2021,안치홍,3001,490,421,58,129,30,2,10,193,3,6,52,3,2,58,5,9
2021,노진혁,11001,384,330,41,95,22,0,8,141,1,1,42,5,0,90,4,3
2021,황재균,12001,507,453,74,132,16,2,10,182,11,4,46,3,1,92,1,4
2021,오재일,1001,484,418,64,119,20,0,25,214,1,0,58,0,8,106,0,8
2021,김인태,6002,418,344,51,89,15,1,8,130,0,2,62,3,0,67,5,4
2021,정훈,3001,561,486,70,142,27,1,14,213,8,1,68,3,8,89,1,3
2021,손아섭,3001,610,542,88,173,29,2,3,215,11,6,61,3,3,67,3,1
2021,박계범,6002,385,322,44,86,12,1,5,115,4,3,44,9,0,68,7,3
2021,피렐라,1001,621,553,102,158,25,2,29,274,9,6,57,8,2,89,0,3
2021,최주환,9002,470,406,50,104,16,0,18,174,2,1,53,9,4,84,0,2
2021,채은성,5002,448,387,59,107,20,0,16,175,4,2,38,16,2,80,0,7
2021,심우준,12001,460,407,61,109,20,2,6,151,16,6,32,4,0,65,10,6
2021,양석환,6002,546,488,66,133,22,0,28,239,2,3,42,9,2,136,0,7
2021,최지훈,9002,534,461,75,121,19,6,5,167,26,6,51,8,0,71,8,6
2021,김태연,7002,220,176,29,53,12,0,3,74,5,3,34,5,0,44,0,5
2021,유강남,5002,441,397,39,100,16,0,11,149,2,0,25,14,1,75,3,2
2021,김웅빈,10001,279,232,24,56,13,1,6,89,1,1,34,9,2,73,2,2
2021,유한준,12001,337,282,30,87,16,0,5,118,1,0,44,7,5,34,0,4
2021,류지혁,2002,327,273,37,76,8,0,2,90,0,0,42,7,1,46,2,3
2021,강승호,6002,340,301,47,72,16,2,7,113,8,2,22,6,1,78,8,3
2021,송우현,10001,282,250,34,74,17,2,3,104,1,1,28,2,1,49,1,1
2021,김성현,9002,274,237,27,67,15,0,6,100,5,2,29,0,0,29,4,4
2021,장성우,12001,460,385,46,89,13,0,14,144,1,2,60,3,3,69,9,3
2021,이재원,9002,313,271,29,76,13,0,3,98,0,2,29,5,4,47,6,2
2021,박민우,11001,215,180,30,47,5,3,1,61,12,3,22,7,0,23,4,2
2021,박찬호,2002,483,418,51,103,15,5,1,131,9,4,54,0,0,73,8,3
2021,김민성,5002,426,360,35,80,22,0,8,126,3,3,42,8,2,73,11,5
2021,오윤석,12001,198,164,23,40,11,0,4,63,4,0,27,2,1,47,5,0
2021,송성문,10001,274,245,30,61,10,1,6,91,0,0,25,1,0,42,2,1
2021,문보경,5002,329,278,37,64,11,1,8,101,3,1,46,0,1,64,3,2
2021,권희동,11001,171,133,25,35,3,0,8,62,2,0,29,5,1,24,1,3
2021,박석민,11001,205,171,27,44,8,0,10,82,0,0,27,2,1,43,3,2
2021,정수빈,6002,351,313,50,81,19,4,3,117,12,7,29,3,1,50,4,2
2021,로맥,9002,421,355,55,80,11,0,20,151,1,0,59,4,1,83,0,3
2021,최정원,11001,238,212,40,60,4,2,0,68,10,7,18,4,0,40,4,0
2021,최형우,2002,446,373,52,87,15,1,12,140,0,0,67,4,10,67,0,2
2021,안중열,3001,157,125,19,29,5,0,3,43,0,0,27,1,0,25,3,1
2021,김민혁,12001,199,172,22,55,6,2,1,68,6,3,20,2,0,26,5,0
2021,한승택,2002,239,203,17,44,7,0,3,60,0,0,28,3,0,61,5,0
2021,조수행,6002,104,84,34,24,2,1,1,31,21,4,16,3,0,26,1,0
2021,김지찬,1001,336,296,50,81,6,0,1,90,23,4,27,0,0,31,10,3
2021,김태군,11001,276,232,23,51,7,0,7,79,0,1,21,11,0,30,9,3
2021,송민섭,12001,65,48,39,11,0,0,0,11,15,1,12,0,0,22,5,0
2021,호잉,12001,294,259,32,62,11,1,11,108,5,2,26,4,2,52,0,5
2021,김강민,9002,260,223,43,53,11,1,8,90,3,3,25,6,1,52,3,3
2021,이명기,11001,232,191,30,56,12,0,2,74,6,3,37,1,0,27,3,0
2021,박병호,10001,477,409,48,93,23,0,20,176,0,1,47,14,3,141,0,7
2021,김주원,11001,189,166,20,40,7,1,5,64,6,2,17,2,0,57,2,2
2021,지시완,3001,187,166,23,40,9,0,7,70,0,0,14,5,0,54,2,0
2021,이성곤,7002,208,174,17,46,12,2,1,65,0,3,29,3,0,53,1,1
2021,장승현,6002,211,177,18,41,10,0,2,57,0,0,19,8,0,50,6,1
2021,김민식,2002,301,250,30,55,8,0,3,72,0,0,41,4,1,49,3,3
2021,이원석,1001,480,399,40,92,19,0,9,138,1,0,60,11,2,80,2,8
2021,추재현,3001,300,262,37,66,15,0,5,96,4,3,26,7,0,57,5,0
2021,안재석,6002,224,200,28,51,8,2,2,69,1,0,16,4,0,53,0,4
2021,김병희,12001,70,52,16,15,3,0,5,33,3,0,13,3,0,15,2,0
2021,이재원,5002,171,154,22,38,6,0,5,59,5,1,14,2,0,48,0,1
2021,이대호,3001,465,420,39,120,11,0,19,188,0,0,34,5,3,50,0,6
2021,허도환,12001,125,105,8,29,6,0,2,41,0,0,8,2,0,28,10,0
2021,김호령,2002,154,130,16,27,2,0,4,41,4,1,16,6,0,44,2,0
2021,라모스,5002,205,185,14,45,7,1,8,78,0,0,18,2,0,43,0,0
2021,김헌곤,1001,364,317,38,89,8,2,4,113,5,4,34,5,0,46,3,5
2021,정주현,5002,214,181,26,43,7,1,3,61,3,3,24,0,0,32,9,0
2021,이지영,10001,258,233,29,64,5,1,0,71,3,1,19,1,2,17,2,3
2021,최인호,7002,164,136,17,28,6,0,4,46,2,1,24,2,0,43,0,2
2021,이형종,5002,281,239,32,52,11,0,10,93,3,1,34,7,1,65,1,0
2021,페레즈,7002,252,224,26,60,15,1,5,92,4,5,17,4,0,52,0,7
2021,오태곤,9002,253,235,47,63,10,0,9,100,9,4,14,2,0,52,1,1
2021,김민하,7002,142,115,14,24,4,1,1,33,6,3,17,8,0,36,0,2
2021,박승규,1001,78,66,13,12,1,0,3,22,1,1,9,2,0,9,1,0
2021,이현석,9002,89,79,7,21,5,0,4,38,0,0,4,1,0,29,3,2
2021,신본기,12001,206,174,25,41,8,0,1,52,1,2,22,4,0,45,5,1
2021,김민수,3001,224,199,19,48,11,1,3,70,0,0,18,3,0,62,3,1
2021,이흥련,9002,146,127,15,30,3,0,3,42,0,0,12,5,0,31,2,0
2021,이창진,2002,293,249,35,52,8,1,3,71,5,0,36,1,0,54,4,3
2021,전병우,10001,261,214,35,40,8,0,6,66,3,1,33,9,0,83,4,1
2021,김용의,5002,41,27,19,4,2,0,0,6,6,0,9,0,0,5,4,1
2021,권동진,12001,86,67,21,17,5,0,1,25,3,3,18,0,0,30,1,0
2021,최용제,6002,119,104,7,29,3,0,0,32,0,0,11,2,0,21,1,1
2021,박세혁,6002,270,237,25,52,12,0,0,64,4,2,22,5,0,43,3,3
2021,박준영,11001,315,273,37,57,7,2,8,92,4,3,27,10,0,92,3,2
2021,김재호,6002,251,211,23,44,8,0,1,55,1,1,29,2,0,34,6,3
2021,이진영,2002,47,40,8,8,2,1,2,18,1,0,3,4,0,22,0,0
2021,최항,9002,79,69,5,19,2,1,0,23,1,0,6,2,1,16,1,1
2021,터커,2002,539,468,42,111,24,1,9,164,0,0,61,8,1,66,0,2
2021,힐리,7002,268,249,27,64,11,1,7,98,2,1,16,2,0,58,0,1
2021,김민수,1001,87,76,9,20,5,0,3,34,0,0,6,1,0,13,2,2
2021,김준태,12001,149,128,17,25,5,0,4,42,0,0,18,1,0,40,0,2
2021,알몬테,12001,250,225,18,61,9,0,7,91,1,0,22,1,0,50,0,2
2021,노수광,7002,180,160,21,37,7,0,3,53,13,1,17,1,0,46,2,0
2021,김찬형,9002,161,132,20,30,7,0,2,43,0,0,16,4,0,32,9,0
2021,장운호,7002,338,285,36,67,10,0,0,77,3,6,36,7,0,77,7,3
2021,김성표,1001,24,18,10,6,0,0,0,6,2,1,5,0,0,7,1,0
2021,김재유,3001,192,174,27,50,8,0,1,61,7,0,10,4,0,36,4,0
2021,문성주,5002,89,79,11,18,1,0,1,22,1,1,7,2,0,15,0,1
2021,손성빈,3001,22,19,4,6,0,0,0,6,0,0,3,0,0,6,0,0
2021,김태진,2002,414,381,43,105,12,5,1,130,8,5,23,0,1,64,6,4
2021,최영진,1001,63,57,9,16,1,2,1,24,1,0,5,1,0,12,0,0
2021,안상현,9002,40,39,9,10,2,0,1,15,3,1,1,0,0,15,0,0
2021,박경수,12001,280,239,24,46,10,0,9,83,0,1,34,3,2,76,4,0
2021,김주형,10001,70,50,5,9,3,0,0,12,1,0,4,13,0,15,3,0
2021,허경민,6002,518,468,61,130,24,1,5,171,5,7,36,8,1,35,3,3
2021,정현,11001,149,117,14,26,5,1,0,33,0,1,17,7,0,24,8,0
2021,한석현,5002,26,21,5,6,2,1,0,10,2,0,3,1,0,7,0,1
2021,박정우,2002,61,48,3,9,1,0,0,10,0,2,10,2,0,8,1,0
2021,이정훈,2002,151,129,14,32,6,0,2,44,0,0,19,3,0,33,0,0
2021,안권수,6002,47,42,17,10,0,1,0,12,3,0,3,0,0,3,2,0
2021,문상철,12001,106,96,14,21,6,0,2,33,2,0,8,2,0,33,0,0
2021,이영빈,5002,169,148,21,36,9,0,2,51,6,3,15,3,0,51,2,1
2021,이병규,3001,43,34,4,8,0,0,0,8,0,0,8,1,0,14,0,0
2021,변상권,10001,171,159,19,38,5,4,0,51,0,0,9,0,0,40,0,3
2021,강경학,2002,39,33,3,5,0,0,0,5,1,0,5,1,0,13,0,0
2021,천성호,12001,47,42,13,12,1,0,0,13,1,0,3,2,0,9,0,0
2021,송준석,1001,55,51,5,12,2,0,2,20,0,0,3,1,0,13,0,0
2021,남태혁,9002,22,20,2,6,1,0,1,10,0,0,1,1,0,7,0,0
2021,이정범,9002,66,59,8,15,4,0,3,28,0,0,7,0,0,15,0,0
2021,정범모,11001,23,19,2,4,1,0,1,8,0,0,2,1,0,4,1,0
2021,최승민,11001,34,31,8,7,1,0,0,8,4,3,1,0,0,7,2,0
2021,신민재,5002,27,23,8,3,0,0,0,3,2,1,4,0,0,6,0,0
2021,이우성,2002,100,85,12,17,5,0,0,22,2,1,13,0,0,17,1,1
2021,강민국,12001,50,45,2,11,2,0,0,13,0,0,3,0,0,6,2,0
2021,최정용,2002,65,52,7,10,1,0,0,11,2,0,9,0,0,16,3,1
2021,유민상,2002,74,60,7,14,2,0,1,19,0,0,8,6,0,18,0,0
2021,오준혁,9002,50,46,7,10,2,0,2,18,0,0,4,0,0,15,0,0
2021,이상호,5002,68,65,5,20,2,0,0,22,2,1,1,0,0,10,2,0
2021,허정협,10001,52,45,5,7,0,0,0,7,0,0,7,0,0,10,0,0
2021,김호재,1001,90,75,9,17,2,0,0,19,0,0,9,2,0,14,3,1
2021,구본혁,5002,45,38,10,5,2,0,0,7,0,0,3,1,0,7,1,2
2021,이성우,5002,39,33,0,7,0,0,0,7,0,0,1,0,0,8,5,0
2021,박준태,10001,58,46,10,9,3,0,0,12,1,0,10,2,0,16,0,0
2021,지석훈,11001,43,34,6,5,1,0,0,6,0,0,6,2,0,12,0,1
2021,정보근,3001,20,18,0,5,0,0,0,5,0,1,2,0,0,2,0,0
2021,전민수,11001,109,98,12,25,3,0,3,37,0,0,11,0,1,23,0,0
2021,김수환,10001,44,41,5,9,2,0,2,17,0,0,2,0,0,17,0,1
2021,김상수,1001,496,429,46,101,17,1,3,129,4,2,52,3,0,51,8,4
2021,김건형,12001,39,33,4,7,1,0,0,8,1,0,6,0,1,6,0,0
2021,임지열,10001,30,25,5,3,0,0,0,3,0,1,4,1,0,10,0,0
2021,정진호,7002,167,145,9,33,9,0,0,42,4,1,15,1,1,22,4,2
2021,크레익,10001,247,222,25,55,12,0,6,85,0,1,20,4,1,43,0,1
2021,강로한,3001,35,33,7,4,0,0,2,10,0,0,2,0,0,18,0,0
2021,김석환,2002,20,19,1,5,0,0,1,8,0,0,0,1,0,7,0,0
2021,김규성,2002,41,36,8,5,1,0,0,6,0,1,5,0,0,17,0,0
2021,김재현,10001,51,46,2,10,7,0,0,17,0,1,3,0,0,12,2,0
2021,신준우,10001,51,42,7,7,3,0,0,10,0,1,4,3,0,21,1,1
2021,김지수,7002,25,24,0,2,1,0,0,3,0,0,1,0,0,14,0,0
2021,윤형준,11001,81,74,10,22,0,0,5,37,0,1,3,0,0,17,3,1
2021,김재성,5002,73,65,6,9,2,1,1,16,1,0,5,1,0,13,1,1
2021,박주홍,10001,56,47,4,5,2,0,0,7,1,1,9,0,0,21,0,0
2021,이성열,7002,140,119,15,25,8,0,2,39,1,0,18,1,0,36,0,2
2021,장두성,3001,41,36,12,8,2,1,0,12,4,2,5,0,0,12,0,0
2021,김도환,1001,46,41,1,6,2,0,0,8,0,1,2,2,0,20,1,0
2021,박민,2002,38,35,3,6,1,0,0,7,0,1,2,1,0,10,0,0
2021,예진원,10001,132,114,16,18,6,1,1,29,0,1,12,2,0,28,3,1
2021,김기환,11001,149,140,19,29,7,2,3,49,15,4,8,0,0,45,1,0
2021,나주환,2002,32,31,0,5,0,0,0,5,0,0,0,0,0,12,0,1
2021,강한울,1001,258,223,25,58,5,0,0,63,2,2,29,0,0,58,3,3
2021,신용수,3001,136,119,23,31,5,2,1,43,3,1,11,3,0,20,2,1
2021,도태훈,11001,76,66,10,12,1,0,1,16,1,0,6,4,0,14,0,0
2021,강태율,3001,31,26,1,2,1,0,1,6,0,1,4,0,0,10,0,1
2021,나승엽,3001,128,113,16,23,2,0,2,31,1,0,14,0,0,33,0,1
2021,이해창,7002,60,54,4,9,3,0,0,12,0,1,1,1,0,13,3,1
2021,조한민,7002,145,127,15,25,6,2,5,50,3,2,13,2,0,57,1,2
2021,이천웅,5002,211,181,20,36,7,0,2,49,3,2,25,3,0,23,1,1
2021,김태훈,12001,91,87,6,20,4,1,1,29,1,0,2,1,0,19,1,0
2021,강상원,7002,49,37,7,4,0,0,0,4,3,0,9,1,0,11,2,0
2021,박정현,7002,120,107,10,21,4,0,0,25,1,0,9,0,0,32,3,1
2021,이학주,1001,174,155,17,32,8,0,4,52,2,2,14,1,0,61,4,0
2021,조용호,12001,515,428,71,101,14,1,0,117,12,9,74,3,0,85,5,5
2021,장지승,7002,72,61,7,11,1,0,1,15,2,0,7,1,0,24,2,1
2021,오재원,6002,79,72,6,12,3,0,0,15,2,0,6,0,0,18,0,1
2021,오선진,1001,46,42,5,9,0,0,0,9,0,0,3,1,0,8,0,0
2021,이홍구,12001,58,55,4,9,0,0,1,12,0,0,2,0,1,28,0,1
2021,배성근,3001,109,93,21,19,4,0,1,26,1,0,14,0,0,36,2,0
2021,고종욱,9002,199,180,25,48,5,0,2,59,2,3,16,0,0,30,1,2
2021,허관회,7002,79,63,4,12,0,0,0,12,0,0,13,1,0,22,0,2
2021,백용환,7002,102,86,10,12,1,0,4,25,0,0,11,3,0,26,2,0
2021,강진성,11001,462,406,49,101,20,0,7,142,9,3,36,14,2,68,4,2
2021,최민재,3001,27,25,2,2,1,0,0,3,2,0,2,0,0,8,0,0
2021,이동훈,7002,62,53,8,10,1,0,0,11,2,2,3,2,0,12,4,0
2021,노태형,7002,49,43,6,5,1,0,0,6,0,0,6,0,0,15,0,0
2021,프레이타스,10001,148,139,13,36,10,0,2,52,0,0,7,1,0,29,0,1
2021,이도윤,7002,68,63,5,11,0,0,0,11,1,2,4,0,0,18,1,0
2021,보어,5002,117,100,7,17,2,0,3,28,0,0,11,3,0,30,0,3
2021,민병헌,3001,49,42,5,8,3,0,0,11,0,1,6,0,0,11,1,0
2021,이원재,11001,69,65,3,15,2,0,0,17,1,0,1,1,0,11,1,1
2021,박대온,11001,95,85,4,18,1,0,0,19,0,0,4,0,0,21,4,2
2021,김창평,9002,28,25,6,2,0,0,0,2,2,1,1,0,0,6,2,0
2021,김동엽,1001,203,185,20,44,9,0,4,65,2,1,10,4,0,42,0,4
2021,김휘집,10001,89,70,9,9,1,0,1,13,1,0,13,2,0,23,3,1
2021,정의윤,9002,178,165,21,38,2,0,7,61,0,0,11,0,1,37,0,2
2021,나지완,2002,102,81,3,13,1,0,0,14,0,0,14,6,0,29,0,1
2021,황대인,2002,308,282,30,67,10,1,13,118,0,0,18,2,0,62,1,5
2021,유로결,7002,112,98,11,14,5,0,1,22,2,1,8,2,0,39,2,2
2021,정진기,11001,206,193,27,43,8,0,6,69,6,3,10,1,0,39,2,0
2021,이원석,7002,130,114,12,20,1,1,1,26,4,2,8,2,0,43,4,2
2021,임종찬,7002,146,131,9,20,5,0,1,28,0,1,12,1,0,49,2,0
